Date,Heure,Station,Nb_validations
20190116,6,Crémazie,488
20190116,6,Côte-Sainte-Catherine,311
20190116,6,Côte-Vertu,1481
20190116,6,Côte-des-Neiges,208
20190116,6,D'Iberville,267
20190116,6,De Castelnau,132
20190116,6,De l'Église,369
20190116,6,De la Concorde,416
20190116,6,De la Savane,69
20190116,6,Du Collège,320
20190116,6,Fabre,371
20190116,6,Frontenac,316
20190116,6,Georges-Vanier,96
20190116,6,Guy-Concordia,318
20190116,6,Henri-Bourassa,1194
20190116,6,Honoré-Beaugrand,1763
20190116,6,Jarry,402
20190116,6,Jean-Drapeau,25
20190116,6,Jean-Talon,387
20190116,6,Jolicoeur,528
20190116,6,Joliette,482
20190116,6,LaSalle,236
20190116,6,Langelier,477
20190116,6,Laurier,434
20190116,6,Lionel-Groulx,433
20190116,6,Longueuil,1996
20190116,6,Lucien-L'Allier,157
20190116,6,McGill,130
20190116,6,Monk,328
20190116,6,Mont-Royal,269
20190116,6,Montmorency,1777
20190116,6,Namur,230
20190116,6,Outremont,98
20190116,6,Papineau,323
20190116,6,Parc,357
20190116,6,Peel,74
20190116,6,Pie-IX,703
20190116,6,Place-Saint-Henri,273
20190116,6,Place-d'Armes,54
20190116,6,Place-des-Arts,187
20190116,6,Plamondon,813
20190116,6,Préfontaine,241
20190116,6,Radisson,928
20190116,6,Rosemont,339
20190116,6,Saint-Laurent,48
20190116,6,Saint-Michel,840
20190116,6,Sauvé,659
20190116,6,Sherbrooke,281
20190116,6,Snowdon,492
20190116,6,Square-Victoria,101
20190116,6,Université-de-Montréal,66
20190116,6,Vendôme,969
20190116,6,Verdun,338
20190116,6,Viau,462
20190116,6,Villa-Maria,431
20190116,6,Édouard-Montpetit,42
20190116,7,Acadie,383
20190116,7,Angrignon,2740
20190116,7,Assomption,426
20190116,7,Atwater,569
20190116,7,Beaubien,1214
20190116,7,Berri-UQAM,1000
20190116,7,Bonaventure,3707
20190116,7,Cadillac,1346
20190116,7,Cartier,2200
20190116,7,Champ-de-Mars,267
20190116,7,Charlevoix,794
20190116,7,Crémazie,1457
20190116,7,Côte-Sainte-Catherine,854
20190116,7,Côte-Vertu,3949
20190116,7,Côte-des-Neiges,598
20190116,7,D'Iberville,865
20190116,7,De Castelnau,547
20190116,7,De l'Église,1198
20190116,7,De la Concorde,2418
20190116,7,De la Savane,270
20190116,7,Du Collège,987
20190116,7,Fabre,1184
20190116,7,Frontenac,973
20190116,7,Georges-Vanier,381
